,id,synopsis,genre,img_url,link,title
0,1,This is the overview of movie/show number 1.,"['Thriller', 'Drama']",http://images.com/1.jpg,http://content.com/item/1,Title 1
1,2,This is the overview of movie/show number 2.,"['Action', 'Sci-Fi']",http://images.com/2.jpg,http://content.com/item/2,Title 2
2,3,This is the overview of movie/show number 3.,['Action'],http://images.com/3.jpg,http://content.com/item/3,Title 3
3,4,This is the overview of movie/show number 4.,['Romance'],http://images.com/4.jpg,http://content.com/item/4,Title 4
4,5,This is the overview of movie/show number 5.,"['Romance', 'Mystery']",http://images.com/5.jpg,http://content.com/item/5,Title 5
5,6,This is the overview of movie/show number 6.,"['Comedy', 'Thriller']",http://images.com/6.jpg,http://content.com/item/6,Title 6
6,7,This is the overview of movie/show number 7.,"['Mystery', 'Sci-Fi', 'Thriller']",http://images.com/7.jpg,http://content.com/item/7,Title 7
7,8,This is the overview of movie/show number 8.,['Adventure'],http://images.com/8.jpg,http://content.com/item/8,Title 8
8,9,This is the overview of movie/show number 9.,"['Sci-Fi', 'Comedy']",http://images.com/9.jpg,http://content.com/item/9,Title 9
9,10,This is the overview of movie/show number 10.,"['Action', 'Sci-Fi']",http://images.com/10.jpg,http://content.com/item/10,Title 10
10,11,This is the overview of movie/show number 11.,"['Comedy', 'Sci-Fi', 'Fantasy']",http://images.com/11.jpg,http://content.com/item/11,Title 11
11,12,This is the overview of movie/show number 12.,"['Mystery', 'Drama']",http://images.com/12.jpg,http://content.com/item/12,Title 12
12,13,This is the overview of movie/show number 13.,"['Thriller', 'Action', 'Comedy']",http://images.com/13.jpg,http://content.com/item/13,Title 13
13,14,This is the overview of movie/show number 14.,['Romance'],http://images.com/14.jpg,http://content.com/item/14,Title 14
14,15,This is the overview of movie/show number 15.,"['Horror', 'Drama', 'Thriller']",http://images.com/15.jpg,http://content.com/item/15,Title 15
15,16,This is the overview of movie/show number 16.,"['Sci-Fi', 'Drama']",http://images.com/16.jpg,http://content.com/item/16,Title 16
16,17,This is the overview of movie/show number 17.,"['Drama', 'Action', 'Adventure']",http://images.com/17.jpg,http://content.com/item/17,Title 17
17,18,This is the overview of movie/show number 18.,['Action'],http://images.com/18.jpg,http://content.com/item/18,Title 18
18,19,This is the overview of movie/show number 19.,"['Romance', 'Sci-Fi']",http://images.com/19.jpg,http://content.com/item/19,Title 19
19,20,This is the overview of movie/show number 20.,['Thriller'],http://images.com/20.jpg,http://content.com/item/20,Title 20
20,21,This is the overview of movie/show number 21.,"['Drama', 'Fantasy']",http://images.com/21.jpg,http://content.com/item/21,Title 21
