id,title,genre,synopsis,img_url,link,genre_encoded
1,Title 1,"['Thriller', 'Drama']",This is the overview of movie/show number 1.,http://images.com/1.jpg,http://content.com/item/1,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
2,Title 2,"['Action', 'Sci-Fi']",This is the overview of movie/show number 2.,http://images.com/2.jpg,http://content.com/item/2,"[1, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
3,Title 3,['Action'],This is the overview of movie/show number 3.,http://images.com/3.jpg,http://content.com/item/3,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
4,Title 4,['Romance'],This is the overview of movie/show number 4.,http://images.com/4.jpg,http://content.com/item/4,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
5,Title 5,"['Romance', 'Mystery']",This is the overview of movie/show number 5.,http://images.com/5.jpg,http://content.com/item/5,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0]"
6,Title 6,"['Comedy', 'Thriller']",This is the overview of movie/show number 6.,http://images.com/6.jpg,http://content.com/item/6,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
7,Title 7,"['Mystery', 'Sci-Fi', 'Thriller']",This is the overview of movie/show number 7.,http://images.com/7.jpg,http://content.com/item/7,"[0, 0, 0, 0, 0, 0, 1, 0, 1, 1]"
8,Title 8,['Adventure'],This is the overview of movie/show number 8.,http://images.com/8.jpg,http://content.com/item/8,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
9,Title 9,"['Sci-Fi', 'Comedy']",This is the overview of movie/show number 9.,http://images.com/9.jpg,http://content.com/item/9,"[0, 0, 1, 0, 0, 0, 0, 0, 1, 0]"
10,Title 10,"['Action', 'Sci-Fi']",This is the overview of movie/show number 10.,http://images.com/10.jpg,http://content.com/item/10,"[1, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
11,Title 11,"['Comedy', 'Sci-Fi', 'Fantasy']",This is the overview of movie/show number 11.,http://images.com/11.jpg,http://content.com/item/11,"[0, 0, 1, 0, 1, 0, 0, 0, 1, 0]"
12,Title 12,"['Mystery', 'Drama']",This is the overview of movie/show number 12.,http://images.com/12.jpg,http://content.com/item/12,"[0, 0, 0, 1, 0, 0, 1, 0, 0, 0]"
